,Drug Name,Cell Line Name,ic50
54,L-Oxonoreleagnine,D-336MG,2.9631672
55,BI-2536,U-87-MG,-0.38305235
56,Tretinoin,D-263MG,4.047529
57,Remodelin,Becker,5.379546
58,SB505124,RC-K8,4.1199446
59,Bosutinib,U-87-MG,4.352751
60,AZD6482,AM-38,4.160797
61,5-azacytidine,SNB75,3.7289877
62,alpha-lipoic acid,DOHH-2,5.872596
63,AZD5153,D-423MG,1.8848886
64,L-Oxonoreleagnine,SU-DHL-4,2.7910404
65,UNC0379,DOHH-2,0.8495989
66,alpha-lipoic acid,SF126,7.154763
67,Sabutoclax,WSU-DLCL2,-2.424242
68,GSK-LSD1,OCI-LY-19,2.1280346
69,615590,Hs-683,3.5404835
70,CCT-018159,KINGS-1,5.075059
71,123138,OCI-LY-19,1.8129835
72,CPI-637,NMC-G1,7.714201
73,CCT007093,MOG-G-UVW,5.348279
74,765771,D-336MG,3.4323215
75,Entinostat,WSU-DLCL2,-0.19433403
76,GSK269962A,LNZTA3WT4,1.4817781
77,Tretinoin,TUR,3.9213076
78,SGC-CBP30,WSU-DLCL2,3.1194773
79,Elephantin,KNS-81-FD,4.3641415
80,KRAS (G12C) Inhibitor-12,MOG-G-CCM,5.187518
81,MIM1,no-11,4.983205
82,Romidepsin,YKG-1,-5.1220665
83,Carmustine,YKG-1,6.348405
84,Obatoclax Mesylate,RL,0.65514946
85,AZD5153,YKG-1,2.835905
86,Tozasertib,U251,3.325863
87,LMP744,SF126,-2.637876
88,743380,SU-DHL-4,1.6151342
89,SCH772984,MC116,2.5700464
90,AZD1208,D-502MG,5.8399086
91,BIBR-1532,GI-1,4.903591
92,GSK2110183B,no-11,3.7548313
93,GSK269962A,SK-MG-1,1.8347626
94,Elephantin,D-566MG,2.6716242
95,IOX2,D-392MG,2.383357
96,Temsirolimus,U-87-MG,-0.1998787
97,Piperlongumine,SU-DHL-8,0.9611349
98,Nelarabine,LNZTA3WT4,6.278615
99,Mitoxantrone,D-247MG,1.7401962
100,GSK2110183B,D-502MG,4.172411
101,AZD1208,no-11,5.528286
102,POMHEX,D-542MG,2.2816114
103,CPI-637,MC116,2.1525555
104,Tretinoin,KINGS-1,5.2332535
105,Ruxolitinib,MOG-G-UVW,5.1026716
106,I-BET-762,WSU-DLCL2,-0.013997078
107,Schweinfurthin A,D-247MG,2.2032356
108,Elesclomol,KARPAS-1106P,-3.3801174
109,Vincristine,SNB75,-0.5932393
110,KRAS (G12C) Inhibitor-12,MOG-G-UVW,4.9424076
111,Romidepsin,SF295,-5.759117
112,alpha-lipoic acid,SNB75,7.9852524
113,Bromosporine,SF295,3.2886992
114,PF-4708671,LNZTA3WT4,3.9990263
115,MIM1,JEKO-1,2.7424726
116,5-azacytidine,D-336MG,2.308607
117,630600,LNZTA3WT4,1.8023996
118,GSK-LSD1,LNZTA3WT4,2.4630814
119,720427,SF295,3.6886997
120,123138,LNZTA3WT4,2.8780556
121,5-azacytidine,SF126,1.8566236
122,720427,MOG-G-CCM,4.8411484
123,Piperlongumine,LN-18,2.1110077
124,PF-4708671,A3-KAW,2.653593
125,667880,MC116,-0.29792213
126,glutathione,YKG-1,9.698778
127,765771,JM1,1.9433327
128,Elephantin,CRO-AP2,0.5387907
129,SL0101,TK,4.5445166
130,729189,D-502MG,4.2587214
131,Teniposide,OCI-LY-19,-3.2485113
132,Daporinad,LN-18,-3.1560578
133,CHIR-99021,A172,4.226246
134,UMI-77,CRO-AP2,2.137434
135,MIM1,RL,2.4802923
136,MIM1,D-542MG,3.8782501
137,IOX2,VAL,2.11483
138,Romidepsin,RL,-6.528367
139,Carmustine,SU-DHL-16,4.55254
140,Wnt-C59,WSU-DLCL2,3.270154
141,630600,MOG-G-CCM,3.50885
142,Mycophenolic acid,OCI-LY-19,-1.0093408
143,alpha-lipoic acid,JM1,6.416091
144,CPI-637,NU-DUL-1,1.4629812
145,AZD6482,SU-DHL-6,-0.15463972
146,Dihydrorotenone,KNS-42,1.9822416
147,LCL161,MOG-G-CCM,5.147216
148,Tretinoin,WSU-DLCL2,3.5538836
149,AGI-6780,WSU-DLCL2,3.1611366
150,ICL-SIRT078,NU-DUL-1,1.5434008
151,UNC0638,JEKO-1,2.3090687
152,Remodelin,CRO-AP2,3.8715305
153,Remodelin,MOG-G-UVW,5.285988
154,IOX2,BC-1,1.3108339
155,GSK2110183B,Hs-683,2.758335
156,150412,D-247MG,3.6675148
157,UNC0379,JEKO-1,1.5074606
158,CHIR-99021,SU-DHL-5,1.9950838
159,Romidepsin,OCI-LY-19,-6.22304
160,GNE-317,LNZTA3WT4,-0.35148144
161,UNC0379,JM1,1.9888124
162,Obatoclax Mesylate,D-247MG,0.7375765
163,Entospletinib,MOG-G-UVW,3.4533663
164,123829,SF126,1.4351816
165,Sepantronium bromide,LNZTA3WT4,-4.847022
166,630600,D-423MG,1.390193
167,TW 37,TUR,0.6743717
168,Fludarabine,NMC-G1,7.4774866
169,Dinaciclib,LNZTA3WT4,-2.217535
170,A-366,D-542MG,4.5031013
171,UMI-77,NU-DUL-1,2.395175
172,GSK269962A,D-263MG,1.9357834
173,Podophyllotoxin bromide,D-502MG,0.112158775
174,Vincristine,OCI-LY-19,-5.111886
175,Fludarabine,JEKO-1,3.9487686
176,glutathione,SU-DHL-16,8.291132
177,POMHEX,KNS-42,2.8883839
178,Topotecan,CRO-AP2,-2.6919312
179,Bleomycin,KNS-81-FD,3.049409
180,CCT-018159,RC-K8,3.6500168
181,Dihydrorotenone,SF295,1.439064
182,BEN,YKG-1,4.0683384
183,Nelarabine,NU-DUL-1,4.7895346
184,AZD5991,D-542MG,4.653488
185,Tamoxifen,LNZTA3WT4,4.0529547
186,Dacarbazine,JEKO-1,3.941556
187,Tretinoin,A4-Fuk,3.1035252
188,Topotecan,WSU-DLCL2,-1.7646551
189,AGK2,OCI-LY-19,2.34278
190,Schweinfurthin A,SU-DHL-4,-1.7164259
191,Remodelin,DOHH-2,3.1093636
192,Mycophenolic acid,D-247MG,1.9150553
193,PF-4708671,SLVL,2.6058779
194,Bleomycin,JM1,2.0223446
195,SL0101,WSU-DLCL2,4.193858
196,AZD6482,KARPAS-1106P,2.0802412
197,Obatoclax Mesylate,NMC-G1,3.2776623
198,Teniposide,RL,-2.8556108
199,Zoledronate,SF126,3.2650309
200,AZD8055,NU-DUL-1,-2.0544915
201,GSK2801,CTB-1,4.7043676
202,Dacarbazine,CTB-1,5.1152496
203,Bromosporine,YKG-1,3.8438349
204,Tretinoin,RC-K8,4.934433
205,Bicalutamide,SU-DHL-8,3.1456957
206,Obatoclax Mesylate,YKG-1,0.89206123
207,Tozasertib,VAL,-0.66969967
208,123138,SF295,2.2219124
209,GSK-LSD1,SF295,3.095148
210,Vinblastine,D-542MG,-2.456935
211,Gallibiscoquinazole,LNZTA3WT4,2.3767338
212,Topotecan,SF295,-1.0879631
213,776928,KNS-42,4.205368
214,Piperlongumine,DB,1.294898
215,L-Oxonoreleagnine,MOG-G-CCM,4.020748
216,IOX2,GB-1,2.2583742
217,AZD2014,KNS-42,4.1231833
218,720427,D-247MG,4.2497587
219,AZD5153,LNZTA3WT4,2.0649223
220,L-Oxonoreleagnine,Hs-683,2.9108725
221,AZD5991,SU-DHL-4,-0.7617407
222,123829,CTB-1,2.104558
223,Romidepsin,D-247MG,-5.2185946
224,SL0101,AM-38,4.7928734
225,IOX2,SF539,1.9628401
226,Remodelin,DB,4.5312853
227,123138,no-11,3.2992573
228,GSK-LSD1,no-11,4.2465544
229,Gallibiscoquinazole,MOG-G-CCM,2.5838022
230,IOX2,KS-1,1.9713507
231,Vinblastine,NU-DUL-1,-6.288671
232,630600,D-247MG,3.4983244
233,Dihydrorotenone,CRO-AP2,1.2885981
234,GSK2830371,DOHH-2,2.8545694
235,Podophyllotoxin bromide,SU-DHL-16,-3.367928
236,LY2109761,MOG-G-UVW,4.3992224
237,Ibrutinib,MOG-G-UVW,4.565755
238,UNC0638,SNB75,4.925148
239,Ulixertinib,LNZTA3WT4,3.2441635
240,WZ4003,LNZTA3WT4,4.7290707
241,123829,SU-DHL-4,2.9153738
242,KRAS (G12C) Inhibitor-12,LNZTA3WT4,4.657078
243,TW 37,NMC-G1,3.5668192
244,Bicalutamide,TUR,3.2433348
245,Cisplatin,D-247MG,3.9280224
246,AZD8055,D-566MG,-1.0024877
247,CHIR-99021,RC-K8,3.5521421
248,776928,no-10,3.4922848
249,Teniposide,SU-DHL-16,-3.5846167
250,glutathione,OCI-LY-19,8.76424
251,Tozasertib,RC-K8,1.8314533
252,AZD1332,no-11,4.515785
253,SL0101,GI-1,4.4626045
254,AZD1332,D-566MG,2.6395655
255,Obatoclax Mesylate,JM1,0.26191616
256,SB505124,SF268,4.755967
257,741909,MC116,1.0856171
258,Sinularin,SF295,2.805688
259,Vincristine,D-502MG,-0.5989871
260,Tretinoin,U251,5.0305433
261,PRT062607,LNZTA3WT4,3.2800055
262,PRIMA-1MET,LNZTA3WT4,3.907669
263,Bicalutamide,T98G,4.458235
264,AZD2014,D-566MG,1.2543545
265,UMI-77,D-542MG,2.6582556
266,Obatoclax Mesylate,NU-DUL-1,0.67828655
267,AZD5991,D-502MG,5.5700083
268,ICL-SIRT078,DOHH-2,1.2881718
269,Sinularin,D-336MG,3.0130348
270,SB505124,SF539,3.7737837
271,SGC-CBP30,YKG-1,4.936517
272,RVX-208,MOG-G-UVW,4.4864616
273,CCT-018159,D-392MG,3.622305
274,IOX2,MOG-G-CCM,2.8987112
275,150412,SF126,3.1021414
276,720427,SU-DHL-4,2.9466496
277,Bicalutamide,KINGS-1,5.7523565
278,TW 37,SU-DHL-4,-0.8944807
279,POMHEX,SF295,2.0721378
280,AZD6482,MOG-G-UVW,3.5540228
281,Piperlongumine,SK-MG-1,2.5378132
282,ICL-SIRT078,D-247MG,5.0590477
283,Tozasertib,GAMG,3.1544285
284,AZD5438,JEKO-1,0.23521519
285,PLX-4720,WSU-DLCL2,3.5877323
286,630600,CRO-AP2,-0.7957759
287,POMHEX,no-10,1.6362572
288,Foretinib,LNZTA3WT4,0.69381905
289,CCT-018159,DBTRG-05MG,5.5977573
290,729189,Hs-683,2.9710684
291,Dacarbazine,Hs-683,5.3047
292,Tretinoin,DB,4.47672
293,Romidepsin,CRO-AP2,-6.6219263
294,Romidepsin,MOG-G-UVW,-6.385876
295,50869,Hs-683,1.9818926
296,CPI-637,D-247MG,4.75403
297,IOX2,42-MG-BA,1.9234362
298,AZD1208,WSU-DLCL2,3.9451609
299,BX795,JSC-1,1.9685631
300,Tozasertib,TK,0.85657215
301,Remodelin,OCI-LY-19,3.6332998
302,Piperlongumine,8-MG-BA,2.2634163
303,Cisplatin,OCI-LY-19,-0.4144945
304,AZD2014,no-10,3.4003086
305,GSK2801,KNS-42,5.25659
306,UNC0638,no-10,3.9208422
307,Sinularin,KNS-81-FD,3.6796494
308,GSK2110183B,SU-DHL-4,0.22653198
309,GSK2606414,LNZTA3WT4,3.9778872
310,Lestaurtinib,RC-K8,-1.5930419
311,WZ4003,WSU-DLCL2,2.899188
312,Nelarabine,D-423MG,5.6158476
313,Gallibiscoquinazole,SNB75,2.6473465
314,TW 37,AM-38,0.6185322
315,Acetalax,D-502MG,6.0476284
316,SL0101,U251,5.375128
317,MIM1,D-566MG,3.0516233
318,SB505124,M059J,5.3578463
319,Dasatinib,MC116,-2.0323963
320,AZD5582,M059J,1.75741
321,OTX015,WSU-DLCL2,-1.1003504
322,GSK2110183B,D-336MG,2.0224495
323,630600,NU-DUL-1,-1.2679152
324,AZD2014,KNS-81-FD,3.999257
325,Bromosporine,RL,1.8104076
326,ICL-SIRT078,NMC-G1,6.9207697
327,CHIR-99021,LNZTA3WT4,4.116439
328,Lestaurtinib,U-87-MG,0.1910057
329,UMI-77,SU-DHL-4,2.0946455
330,AZD5153,D-566MG,0.5202122
331,Elephantin,D-336MG,3.1552744
332,776928,KNS-81-FD,4.8196974
333,alpha-lipoic acid,YKG-1,8.049519
334,Mitoxantrone,LNZTA3WT4,-0.09623194
335,Teniposide,CTB-1,-2.9174557
336,ICL-SIRT078,YKG-1,4.652834
337,Cytarabine,D-502MG,2.751686
338,729189,OCI-LY-19,2.3715153
339,Bromosporine,OCI-LY-19,1.9490948
340,CHIR-99021,A3-KAW,2.9532366
341,CCT-018159,KARPAS-422,2.5908642
342,Bicalutamide,KALS-1,5.0793552
343,Podophyllotoxin bromide,NU-DUL-1,-3.1897893
344,UNC0638,D-423MG,3.7299662
345,ML323,MOG-G-CCM,5.888294
346,BX795,LN-18,3.0135489
347,NVP-ADW742,LNZTA3WT4,2.7876596
348,AZD5991,SNB75,4.7497845
349,UNC0379,SF126,2.7087898
350,MIM1,KNS-81-FD,4.6104603
351,glutathione,D-502MG,9.767307
352,5-azacytidine,no-11,4.6844015
353,150412,MC116,2.4644566
354,Dacarbazine,D-502MG,6.080887
355,ICL-SIRT078,SU-DHL-4,2.4539537
356,GSK2801,SF295,4.823945
357,GSK2830371,OCI-LY-19,3.6853456
358,Nelarabine,MOG-G-CCM,6.598628
359,50869,D-502MG,2.6625185
360,SGC-CBP30,OCI-LY-19,3.1008043
361,BX795,AM-38,2.762971
362,720427,SU-DHL-16,2.896349
363,A-366,SU-DHL-4,3.6678858
364,LMP744,MOG-G-CCM,0.8206587
365,743380,SU-DHL-16,1.1760101
366,Mycophenolic acid,NU-DUL-1,-0.69437647
367,A-366,D-566MG,4.0591145
368,Carmustine,D-336MG,5.8802004
369,CPI-637,OCI-LY-19,3.0803776
370,765771,SF126,3.00105
371,Podophyllotoxin bromide,KNS-81-FD,1.1558962
372,UNC0379,YKG-1,3.8904467
373,IOX2,GAMG,2.2418709
374,alpha-lipoic acid,Farage,6.6475677
375,BX795,8-MG-BA,2.5760431
376,AZD1208,SF126,4.6627474
377,POMHEX,KNS-81-FD,2.8737955
378,Carmustine,MOG-G-CCM,6.765999
379,Remodelin,D-247MG,5.0473995
380,PFI3,MOG-G-CCM,5.9175873
381,720427,D-423MG,3.478095
382,AZD5153,no-10,2.3465204
383,Bicalutamide,TK,3.749507
384,TW 37,SU-DHL-10,-0.80999327
385,Cisplatin,Hs-683,2.166545
386,N-acetyl cysteine,D-542MG,10.344358
387,CCT-018159,T98G,2.9756012
388,Mitoxantrone,D-423MG,-0.7523842
389,GSK269962A,A172,1.6406689
390,SB505124,YH-13,4.999937
391,Elesclomol,A4-Fuk,-3.4806309
392,ICL-SIRT078,JM1,3.3030777
393,MIM1,SF126,3.1460419
394,Podophyllotoxin bromide,D-566MG,-1.1353784
395,Dihydrorotenone,no-10,2.214612
396,Sorafenib,LNZTA3WT4,2.654214
397,Bleomycin,NMC-G1,5.0484257
398,Gallibiscoquinazole,SU-DHL-4,1.6522675
399,Bicalutamide,A172,4.585799
400,UMI-77,D-247MG,3.5900822
401,alpha-lipoic acid,KNS-42,7.6486406
402,Mycophenolic acid,MC116,-0.4311962
403,Schweinfurthin A,JEKO-1,-2.7820916
404,5-azacytidine,YKG-1,3.280386
405,GSK2606414,WSU-DLCL2,2.8380585
406,729189,D-247MG,3.9690542
407,GSK2830371,D-542MG,5.6890917
408,CHIR-99021,GI-1,4.5932884
409,CCT-018159,SF539,2.5657768
410,SB505124,D-392MG,5.2911243
411,AZD2014,SF126,2.385396
412,PRT062607,MOG-G-UVW,3.7615767
413,615590,KNS-81-FD,4.6271324
414,615590,SU-DHL-16,3.0718422
415,Bromosporine,WSU-DLCL2,0.031998634
416,Methotrexate,KALS-1,0.8132839
417,alpha-lipoic acid,no-11,8.3860855
418,glutathione,no-10,9.297213
419,SB505124,SW1088,4.9872904
420,SB505124,SU-DHL-10,2.2702427
421,GSK2110183B,NU-DUL-1,-0.15997458
422,Romidepsin,MC116,-6.2596817
423,776928,NU-DUL-1,2.35771
424,Bleomycin,MOG-G-UVW,1.9047508
425,Piperlongumine,42-MG-BA,2.0294008
426,AZD2014,SNB75,2.558055
427,AZD5153,MC116,-0.5900583
428,615590,D-423MG,3.426816
429,Elephantin,CTB-1,1.7300425
430,SL0101,CAS-1,5.973072
431,BEN,D-566MG,3.1821775
432,BEN,SU-DHL-16,2.4295273
433,Vinblastine,KNS-81-FD,-1.1383495
434,Schweinfurthin A,KNS-81-FD,2.2799416
435,Cisplatin,DOHH-2,0.33397865
436,150412,D-502MG,3.858942
437,Elesclomol,WSU-DLCL2,-4.1039004
438,AZD1208,JEKO-1,3.5931158
439,Vinorelbine,CAS-1,-1.170825
440,BX795,M059J,2.937251
441,50869,MC116,0.80871296
442,Mycophenolic acid,NMC-G1,3.5487556
443,Motesanib,RC-K8,5.37708
444,SL0101,SLVL,5.1588545
445,BX795,KINGS-1,4.713232
446,BEN,D-423MG,3.981865
447,Piperlongumine,SF539,1.7654419
448,743380,OCI-LY-19,0.39194584
449,AZD1332,LNZTA3WT4,3.643898
450,PCI-34051,MOG-G-UVW,5.0450497
451,AZD6482,U-118-MG,4.509656
452,BX795,SU-DHL-6,1.1300259
453,50869,no-11,3.3202143
454,Piperlongumine,KALS-1,2.86586
455,Elesclomol,JSC-1,-3.4553552
456,AZD1332,D-247MG,2.3975573
457,AZD5991,SU-DHL-16,-2.5224562
458,L-Oxonoreleagnine,SU-DHL-16,2.709217
459,Schweinfurthin A,NU-DUL-1,-2.6204748
460,Elephantin,Hs-683,3.1107397
461,667880,CTB-1,0.01345253
462,Obatoclax Mesylate,SU-DHL-16,-0.4605279
463,Carmustine,CTB-1,5.4746675
464,JNK Inhibitor VIII,MC116,2.974698
465,Daporinad,SU-DHL-5,-5.799142
466,Acetalax,D-336MG,5.5938826
467,AZD1208,no-10,4.7695026
468,UMI-77,LNZTA3WT4,3.063899
469,ML323,MOG-G-UVW,5.353318
470,SB505124,KARPAS-422,3.328928
471,BX795,DB,1.3679152
472,SGC-CBP30,NMC-G1,6.865797
473,729189,KNS-81-FD,3.812296
474,BEN,no-10,4.6992636
475,MIM1,SU-DHL-4,2.436201
476,Elephantin,KNS-42,3.7810907
477,AZD5582,MOG-G-UVW,2.5050497
478,SB505124,LNZTA3WT4,4.2552996
479,UNC0379,SNB75,3.4667425
480,Daporinad,CAS-1,-2.8268147
481,AZD5153,no-11,3.027275
482,SB505124,A3-KAW,3.1535406
483,AZD5991,SF126,3.5240583
484,YK-4-279,LNZTA3WT4,1.5726995
485,Topotecan,SF126,-1.4791408
486,TW 37,SU-DHL-8,-0.07297182
487,Tozasertib,BC-1,-0.27908182
488,667880,CRO-AP2,0.22506142
489,729189,D-423MG,3.0315456
490,AZD8055,D-336MG,-0.8215523
491,Vismodegib,U-87-MG,5.0756874
492,Vincristine,RL,-4.9916267
493,Bleomycin,D-247MG,3.499321
494,CHIR-99021,U-87-MG,4.2871637
495,A-366,SF126,3.8021145
496,Elephantin,SNB75,4.13457
497,AZD4547,LNZTA3WT4,1.840579
498,AZD5991,YKG-1,4.6845064
499,Gallibiscoquinazole,SF126,1.697053
500,GSK269962A,LN-229,3.2400475
501,776928,D-336MG,3.409667
502,Zoledronate,D-247MG,4.094453
503,667880,D-502MG,1.5033312
504,Piperlongumine,LN-229,3.1734047
505,AZD2014,D-336MG,1.6227808
506,743380,D-247MG,1.9398394
507,Tozasertib,A172,2.610612
508,GSK269962A,RC-K8,1.6632557
509,GSK2830371,no-10,4.9476986
510,BX795,VAL,1.497674
511,PF-4708671,CAS-1,5.247796
512,PF-4708671,A4-Fuk,3.4551687
513,Topotecan,MOG-G-CCM,1.5565643
514,PF-4708671,TK,2.9815912
515,123138,no-10,2.164444
516,GSK-LSD1,no-10,2.879056
517,Zoledronate,D-336MG,3.788557
518,BX795,SU-DHL-8,2.285221
519,SL0101,8-MG-BA,4.627919
520,GSK269962A,SU-DHL-8,1.6183825
521,glutathione,Hs-683,9.492874
522,50869,NU-DUL-1,0.5185938
523,CPI-637,Farage,1.5322514
524,667880,NU-DUL-1,-0.43054104
525,615590,SF126,3.4799109
526,729189,D-566MG,2.967392
527,GNE-317,GI-1,-0.5757284
528,Vincristine,SU-DHL-4,-4.2005763
529,IOX2,MOG-G-UVW,1.774826
530,PFI3,MOG-G-UVW,5.461911
531,LMP744,NU-DUL-1,-4.3987513
532,SL0101,KINGS-1,6.2497797
533,CCT-018159,KS-1,2.2948513
534,Vinblastine,SNB75,-2.4696035
535,PF-4708671,SU-DHL-5,2.731923
536,RVX-208,MOG-G-CCM,4.8570395
537,Buparlisib,LNZTA3WT4,0.31197548
538,150412,D-542MG,3.6457129
539,741909,RL,2.0554647
540,glutathione,KNS-42,9.3489895
541,GSK2801,WSU-DLCL2,3.3993082
542,Pevonedistat,LNZTA3WT4,-0.38948298
543,L-Oxonoreleagnine,KNS-81-FD,3.7715216
544,VE-822,LNZTA3WT4,2.8560572
545,Dihydrorotenone,OCI-LY-19,-0.7835746
546,Alisertib,Farage,-1.7301121
547,GSK269962A,GB-1,3.1083164
548,POMHEX,Farage,-0.17362404
549,123829,D-566MG,1.192625
550,AZD5991,RL,0.67468166
551,Tretinoin,TK,4.34991
552,AZD6482,GI-1,2.8732996
553,Acetalax,NU-DUL-1,4.213829
554,Cisplatin,D-336MG,3.0568562
555,743380,CRO-AP2,1.1641521
556,Bicalutamide,WSU-DLCL2,3.0750713
557,Fludarabine,WSU-DLCL2,4.131212
558,alpha-lipoic acid,Hs-683,7.7986364
559,LMP744,MC116,-3.5723505
560,Daporinad,SU-DHL-10,-5.568713
561,AZD6482,VAL,3.1097965
562,Tretinoin,A172,4.302597
563,Remodelin,MC116,3.9120522
564,N-acetyl cysteine,MC116,9.241602
565,GSK269962A,MOG-G-UVW,1.423831
566,667880,MOG-G-CCM,1.5487299
567,A-366,NMC-G1,6.877289
568,Zoledronate,OCI-LY-19,2.0701132
569,630600,YKG-1,3.3201199
570,150412,CTB-1,2.397356
571,BEN,no-11,5.4362507
572,Vincristine,WSU-DLCL2,-4.8285627
573,IOX2,SLVL,1.5527439
574,5-azacytidine,D-423MG,2.5690355
575,SGC-CBP30,SF295,4.346245
576,Elephantin,SF126,2.875967
577,ICL-SIRT078,SU-DHL-16,1.5830851
578,Picolinici-acid,MOG-G-CCM,5.9539165
579,Podophyllotoxin bromide,D-542MG,-0.08872843
580,Romidepsin,JEKO-1,-6.4290476
581,Elesclomol,SU-DHL-8,-3.1497083
582,SB505124,42-MG-BA,3.5562878
583,Mitoxantrone,MOG-G-CCM,1.549942
584,Cytarabine,D-336MG,1.4316854
585,Sinularin,RL,2.8046207
586,XAV939,WSU-DLCL2,3.6749134
587,UNC0379,OCI-LY-19,1.6339169
588,615590,LNZTA3WT4,4.0882444
589,BX795,T98G,3.180313
590,L-Oxonoreleagnine,MOG-G-UVW,3.540965
591,CHIR-99021,MOG-G-CCM,4.936597
592,630600,D-542MG,3.2648926
593,ICL-SIRT078,D-423MG,3.427291
594,SL0101,Becker,5.166032
595,Acetalax,D-247MG,5.106819
596,SGC-CBP30,SF126,4.378003
597,GSK269962A,DB,0.9741459
598,AZD2014,CTB-1,1.8631897
599,UMI-77,Farage,2.1826324
600,Fludarabine,MOG-G-CCM,5.938534
601,741909,JM1,1.2134237
602,EPZ004777,LNZTA3WT4,5.1989374
603,SB505124,SK-MG-1,4.668704
604,Podophyllotoxin bromide,SU-DHL-4,-2.1086917
605,Romidepsin,D-542MG,-5.4509478
606,CCT-018159,MOG-G-UVW,2.422349
607,TW 37,D-542MG,1.1860161
608,MIM1,NMC-G1,5.8543367
609,Elephantin,NMC-G1,7.537472
610,741909,no-10,2.7513285
611,Niraparib,MOG-G-UVW,4.595706
612,Leflunomide,MOG-G-UVW,5.537491
613,AZD7762,LNZTA3WT4,-0.08499813
614,LMP744,no-10,-0.7111759
615,BEN,LNZTA3WT4,3.6123857
616,Dacarbazine,KNS-42,5.5885296
617,741909,CRO-AP2,1.4556341
618,765771,MOG-G-UVW,3.2289057
619,Obatoclax Mesylate,SU-DHL-5,-1.1418934
620,SL0101,A4-Fuk,4.525175
621,Mycophenolic acid,D-423MG,0.9534044
622,GSK2110183B,D-247MG,3.9710808
623,PF-4708671,DB,2.3301249
624,Mycophenolic acid,CTB-1,-0.7393422
625,Zoledronate,SF295,3.3197775
626,SGC-CBP30,Hs-683,4.5306807
627,CCT-018159,SU-DHL-5,2.0729237
628,GSK2110183B,KNS-42,4.378621
629,AZD6482,U251,4.599371
630,Nelarabine,SF295,5.863222
631,SL0101,BC-1,3.824664
632,GSK2801,MOG-G-CCM,5.5048475
633,Schweinfurthin A,D-502MG,2.1259727
634,Dacarbazine,D-247MG,5.7761974
635,SGC-CBP30,MOG-G-CCM,5.447463
636,Dacarbazine,RL,4.824546
637,50869,D-247MG,2.4725142
638,729189,NU-DUL-1,2.9986734
639,Bleomycin,RL,0.730546
640,Ipatasertib,LNZTA3WT4,3.3317614
641,AZD6482,KINGS-1,3.3650837
642,743380,D-566MG,1.0119867
643,IOX2,Becker,2.4882603
644,123829,JEKO-1,1.9549608
645,L-Oxonoreleagnine,LNZTA3WT4,3.5567436
646,CHIR-99021,DB,3.3526592
647,720427,OCI-LY-19,2.7173662
648,50869,CRO-AP2,0.27688694
649,AZD1208,CTB-1,4.8590994
650,Vincristine,JM1,-3.8158226
651,SL0101,LN-405,5.063533
652,Dacarbazine,CRO-AP2,4.098796
653,741909,KNS-42,2.836423
654,Fludarabine,RL,2.5210657
655,Vinblastine,NMC-G1,-0.23310947
656,Teniposide,no-10,0.75780773
657,Vinblastine,D-423MG,-4.742982
658,MN-64,WSU-DLCL2,3.916915
